0.000000000000e+00	5.633187500000e+03
1.000000000000e+00	1.498362890625e+04
2.000000000000e+00	1.609746337891e+03
3.000000000000e+00	2.628980941772e+03
4.000000000000e+00	6.813761434555e+02
5.000000000000e+00	4.189603748918e+02
6.000000000000e+00	1.422237712704e+02
7.000000000000e+00	1.355783350582e+02
8.000000000000e+00	4.015692187691e+00
9.000000000000e+00	6.560751435345e+01
1.000000000000e+01	3.075252982882e+01
1.100000000000e+01	1.335758231537e+01
1.200000000000e+01	4.668237038190e+00
1.300000000000e+01	3.255955563927e-01
1.400000000000e+01	1.845217515671e+00
1.500000000000e+01	7.598532817919e-01
1.600000000000e+01	2.171394385059e-01
1.700000000000e+01	5.422541495864e-02
1.800000000000e+01	8.145767276619e-02
1.900000000000e+01	1.361629415260e-02
2.000000000000e+01	2.030451909195e-02
2.100000000000e+01	3.344102140545e-03
2.200000000000e+01	5.136098587172e-03
2.300000000000e+01	8.959988699644e-04
2.400000000000e+01	1.224051475219e-03
2.500000000000e+01	1.640262617002e-04
2.600000000000e+01	3.659863123175e-04
2.700000000000e+01	1.009800271277e-04
2.800000000000e+01	3.152311546728e-05
2.900000000000e+01	3.472845492070e-05
3.000000000000e+01	1.602671545697e-06
3.100000000000e+01	1.496022196079e-05
3.200000000000e+01	6.678776117042e-06
3.300000000000e+01	2.538052285672e-06
3.400000000000e+01	4.676930984715e-07
3.500000000000e+01	5.674883141182e-07
3.600000000000e+01	4.989851731807e-08
